drug_serial	drug_all_name	highest_phase	disease_condition	formula	target_name	target_id	tr_smiles	modulator_serial	mod_feature	cas_id	basic_patent	drugbank_id	pubmed_id	ref_title
ADR000077	RO-4491533	Preclinical	Depression; Cognitive disorders; Psychosis	C24H20F3N3O	Metabotropic glutamate receptor 2;Metabotropic glutamate receptor 3	ASD01880000_1;ASD05170000_1	Cc1cc(cc(C)n1)-c1cccc(c1)C1=Nc2cc(C)c(cc2NC(=O)C1)C(F)(F)F |t:16|	ASD01870250	Inhibitor;Inhibitor	579482-31-8	WO 2003066623; WO 2005014002			
ADR000079	KC-706	Phase II	Lipoprotein disorders; Cardiovascular Disorders; Pemphigus; Psoriasis; Rheumatoid arthritis		Mitogen-activated protein kinase 14	ASD03490000_1			Inhibitor					
ADR000080	AMN-082	Preclinical	Others	C28H30Cl2N2	Metabotropic glutamate receptor 7	ASD01920000_2	Cl.Cl.C(CNC(c1ccccc1)c1ccccc1)NC(c1ccccc1)c1ccccc1	ASD01920002	Activator	97075-46-2; 83027-13-8 (free base); 84199-10-0 (dimethanesulfonate)	GB 2093023; WO 2008131439; WO 2009132050; WO 2010074992			
ADR000081	S-70340; S-70340-1	Preclinical	Neurodegeneration; Cognitive disorders		Glutamate receptor 1	ASD03930000_1			Activator					
ADR000082	NS-1738	Preclinical	Neurodegeneration; Cognitive disorders; Psychosis	C14H9Cl2F3N2O2	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	Oc1ccc(Cl)cc1NC(=O)Nc1cc(ccc1Cl)C(F)(F)F	ASD03090011	Activator	501684-93-1	WO 2005092843			
ADR000083	PLG	Preclinical	Psychosis; Parkinson's disease	C13H23N3O4	D(2) dopamine receptor	ASD00990000_1	CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(O)=O	ASD00990095	Regulator					
ADR000084	PAOPA	Preclinical	Psychosis; Parkinson's disease	C11H18N4O3	D(2) dopamine receptor	ASD00990000_1	NC(=O)CN1CC[C@@H](NC(=O)[C@@H]2CCCN2)C1=O	ASD00990098	Regulator		WO 2012027825			
ADR000085	SH-053-2'F-S-CH3	Preclinical	Anxiety disorder; Convulsions; Alcoholism	C23H18FN3O2	Gamma-aminobutyric acid receptor subunit alpha-2;Gamma-aminobutyric acid receptor subunit beta3;Gamma-aminobutyric acid receptor subunit gamma2	ASD01140000_12;ASD01140000_10;ASD01140000_1	CCOC(=O)c1ncn-2c1[C@H](C)N=C(c1ccccc1F)c1cc(ccc-21)C#C |t:13|	ASD01140043	Activator;Activator;Activator		US 2010261711; WO 2006004945			
ADR000086	SH-053-2'F-R-CH3	Preclinical	Anxiety disorder; Convulsions; Alcoholism	C23H18FN3O2	Gamma-aminobutyric acid receptor subunit alpha-1;Gamma-aminobutyric acid receptor subunit beta3;Gamma-aminobutyric acid receptor subunit gamma2	ASD01140000_3;ASD01140000_10;ASD01140000_1	CCOC(=O)c1ncn-2c1[C@@H](C)N=C(c1ccccc1F)c1cc(ccc-21)C#C |t:13|	ASD01140042	Activator;Activator;Activator		US 2010261711; WO 2006004945			
ADR000088	LUF-6000	Preclinical	Inflammation	C22H20Cl2N4	Adenosine receptor A3	ASD00190000_1	Clc1ccc(Nc2nc3ccccc3c3nc([nH]c23)C2CCCCC2)cc1Cl	ASD00190016	Regulator	890087-21-5	WO 2007089507; WO 2014024195			
ADR000089	LY-2389575	Preclinical	Pain; Depression; Psychosis	C16H19BrCl2N4O3S	Metabotropic glutamate receptor 3	ASD05170000_1	CS(O)(=O)=O.Clc1ccc(CN[C@H]2CCN(C2)c2ncc(Br)cn2)c(Cl)c1	ASD05170002	Inhibitor		WO 2006044454			
ADR000090	BNC-210; IW-2143	Phase II	Depression; Agitation; Panic disorder; Anxiety, generalized; Stress, post-traumatic		Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1			Inhibitor					
ADR000092	2-261; UCI-2-261	Preclinical	Anxiety disorder; Pain, neuropathic	C20H20Cl2N2O2	Gamma-aminobutyric acid receptor subunit beta2;Gamma-aminobutyric acid receptor subunit beta3	ASD01140000_2;ASD01140000_10	CC[C@H](C)NC(=O)C(=C/Nc1ccc(Cl)cc1)\C(=O)c1ccccc1Cl	ASD01140494	Activator;Activator		WO 2005108347			
ADR000093	2-262	Preclinical	Anxiety disorder	C20H20Cl2N2O2	Gamma-aminobutyric acid receptor subunit beta2;Gamma-aminobutyric acid receptor subunit beta3	ASD01140000_2;ASD01140000_10	CC[C@@H](C)NC(=O)C(=C/Nc1ccc(Cl)cc1)\C(=O)c1ccccc1Cl	ASD01140602	Activator;Activator		WO 2005108347			
ADR000095	729327; GSK-729327	Phase I	Schizophrenia		Glutamate receptor 1	ASD03930000_1			Regulator					
ADR000096	JNJ-1930942	Preclinical	Cognitive disorders; Psychosis	C16H11F4N3OS	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	OCc1sc(Nc2ccc(F)c(c2)C(F)(F)F)nc1-c1ccncc1	ASD03090017	Activator		CN 102863435; WO 2007031440			
ADR000097	M-5MPEP	Preclinical	Cocaine dependency	C15H13NO	Metabotropic glutamate receptor 5	ASD01910000_1	COc1cccc(c1)C#Cc1ccc(C)cn1	ASD01910090	Inhibitor		WO 2007035823			
ADR000098	RMG-40083; XY-4083	Preclinical	Schizophrenia; Dementia, Alzheimer's type; Cognitive disorders		Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1			Activator					
ADR000099	ADX-63365	Preclinical	Schizophrenia; Mild cognitive impairment (MCI)		Metabotropic glutamate receptor 5	ASD01910000_1			Regulator					
ADR000100		Preclinical	Cognitive disorders	C9H11FN2O2S	Glutamate receptor 1	ASD03930000_1	CCN1CNS(=O)(=O)c2cc(F)ccc12	ASD01238023	Activator	945388-09-0	WO 2001040210			
ADR000101	MMPIP	Preclinical	Others	C19H15N3O3	Metabotropic glutamate receptor 7	ASD01920000_2	COc1ccc(cc1)C1=Cc2onc(c2C(=O)N1C)-c1ccncc1 |t:9|	ASD01920024	Inhibitor		WO 2002102807			
ADR000102	A-716096	Preclinical	Neurodegeneration; Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Psychosis	C14H13F2N3O3S	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	CN(C)C(=O)\N=C1/SC(C)=CN1c1ccc2OC(F)(F)Oc2c1 |c:9|	ASD03090819	Activator		WO 2008002956			
ADR000103	A-867744	Preclinical	Neurodegeneration; Cognitive disorders; Psychosis	C20H19ClN2O3S	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	CCC(=O)c1cc(-c2ccc(Cl)cc2)n(c1C)-c1ccc(cc1)S(N)(=O)=O	ASD03090018	Activator		WO 2008002974			
ADR000104	ML-108; VU-0152100; VU-152100	Preclinical	Schizophrenia	C18H17N3O3S	Muscarinic acetylcholine receptor M4	ASD01840000_1	COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1	ASD01840092	Regulator		WO 2016179351			
ADR000105	VU-0152099; VU-152099	Preclinical	Schizophrenia	C20H31NO	Muscarinic acetylcholine receptor M4	ASD01840000_1	Cc1cc(C)c2c(N)c(sc2n1)C(=O)NCc1ccc2OCOc2c1	ASD01840091	Regulator	612514-42-8				
ADR000106	ADX-71943	Preclinical	Incontinence, urinary; Pain, osteoarthritis; Inflammation; Gastroesophageal reflux disease (GERD)	C21H18FN5O5	Gamma-aminobutyric acid type B receptor	ASD01150000_1	COC1=NN(C(=O)N(Cc2ccc(C#N)c(OC)c2)C1=O)c1ccc(F)c(NC(C)=O)c1 |t:2|	ASD01150639	Activator		WO 2008056257			
ADR000108	A-969933; NS-9283	Preclinical	Pain; Cognitive disorders	C15H9N3O	Neuronal acetylcholine receptor subunit alpha-4;Neuronal acetylcholine receptor subunit beta-2	ASD03080000_1;ASD03080000_2	N#Cc1cccc(c1)-c1nc(no1)-c1cccnc1	ASD03080083	Activator;Activator	913830-15-6	WO 2006114400; WO 2008028903; WO 2008073942; WO 2009148452			
ADR000109	VCP-171	Preclinical	Pain; Coronary artery disease; Hypertension	C18H12F3NOS	Adenosine receptor A1	ASD00170000_1	Nc1scc(c1C(=O)c1ccccc1)-c1cccc(c1)C(F)(F)F	ASD00170204	Activator		WO 2009049362			
ADR000110	CX-1632; S-47445, Tulrampator(Rec INN)	Phase II	Major depression; Dementia, Alzheimer's type	C20H17FN4O3	Glutamate receptor 1	ASD03930000_1	Fc1cccc(CCN2N=Nc3cc4C(=O)N(COc4cc3C2=O)C2CC2)c1 |c:9|	ASD01230384	Activator		WO 2008085506; WO 2015155451; WO 2016151265			
ADR000111		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Psychosis	C20H17FN4O3	Glutamate receptor 1	ASD03930000_1	Fc1cccc(CCN2N=Nc3cc4C(=O)N5CCCC5Oc4cc3C2=O)c1 |c:9|	ASD03930245	Activator		WO 2008085505; WO 2011130411			
ADR000112		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Psychosis	C16H16N8O3	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1N=Nc2cc3C(=O)N4CCCC4Oc3cc2C1=O |c:10|	ASD03930246	Activator		WO 2008085505; WO 2011130411			
ADR000113	CX-1739	Phase II	Depression; Attention deficit hyperactivity disorder (ADHD); Sleep apnea, central; Dementia, Alzheimer's type; Hypoventilation (respiratory depression)	C13H15N3O3	Glutamate receptor 1	ASD03930000_1	CN(C1CCOCC1)C(=O)c1ccc2nonc2c1	ASD03930247	Activator		CN 102030734; WO 2008143963; WO 2018009256			
ADR000114	TBPB	Preclinical	Psychosis	C25H32N4O	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cc1ccccc1CN1CCC(CC1)N1CCC(CC1)N1C(=O)Nc2ccccc12	ASD01810049	Activator	634616-95-8	WO 2003105781			
ADR000115	VU-10010	Preclinical	Psychosis	C17H16ClN3OS	Muscarinic acetylcholine receptor M4	ASD01840000_1	Cc1cc(C)c2c(N)c(sc2n1)C(=O)NCc1ccc(Cl)cc1	ASD01841075	Activator	633283-39-3	WO 2016179351			
ADR000116	BHF-177	Preclinical	Anxiety disorder; Substance abuse and dependence	C19H20F3N3	Gamma-aminobutyric acid type B receptor	ASD01150000_1	Cc1ncc(c(N[C@@H]2C[C@H]3CC[C@@H]2C3)n1)-c1ccc(cc1)C(F)(F)F	ASD01151048	Activator	917896-43-6	WO 2006136442			
ADR000117	AZD-8529	Phase II	Smoking cessation therapy; Schizophrenia	C24H24F3N5O3	Metabotropic glutamate receptor 2	ASD01880000_1	Cc1cc(cc2CN(Cc3ccc(OC(F)(F)F)cc3)C(=O)c12)-c1nc(CN2CCNCC2)no1	ASD01881511	Activator		WO 2008150233; WO 2010148074; WO 2011084098			
ADR000118	AZ-7325; AZD-7325	Phase I	Autism spectrum disorders; Anxiety disorder; Neurological Disorders; Fragile X syndrome	C19H19FN4O2	Gamma-aminobutyric acid receptor subunit alpha-3;Gamma-aminobutyric acid receptor subunit alpha-2	ASD01140000_13;ASD01140000_12	CCCNC(=O)c1nnc2c(cccc2c1N)-c1c(F)cccc1OC	ASD01140649	Activator;Activator		US 2007142328; US 2016199373; US 2018104244; WO 2008155573			
ADR000119	BPQCA	Preclinical	Dementia, Alzheimer's type		Muscarinic acetylcholine receptor M1	ASD01810000_1			Regulator					
ADR000120	CF-602; LUF-6096	Preclinical	Myocardial infarction; Osteoarthritis; Erectile dysfunction	C22H21Cl2N3O	Adenosine receptor A3	ASD00190000_1	Clc1ccc(Nc2cc(NC(=O)C3CCCCC3)c3ccccc3n2)cc1Cl	ASD00191051	Regulator		WO 2010020981			
ADR000121		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Parkinson's disease; Huntington's disease	C16H16N14O2	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1N=Nc2cc3C(=O)N(N=Nc3cc2C1=O)[C@H](C)Cn1ncnn1 |c:10,18|	ASD03930248	Activator		WO 2009038752			
ADR000122		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Parkinson's disease; Huntington's disease	C15H14N10O2	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1N=Nc2cc3C(=O)N(N=Nc3cc2C1=O)C1CC1 |c:10,18|	ASD03930249	Activator		WO 2009038752			
ADR000123		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Parkinson's disease; Huntington's disease	C13H12N10O2	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1N=Nc2cc3C(=O)N(C)N=Nc3cc2C1=O |c:10,19|	ASD03930250	Activator		WO 2009038752			
ADR000124		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Parkinson's disease; Huntington's disease	C15H16N10O3	Glutamate receptor 1	ASD03930000_1	COCCN1N=Nc2cc3C(=O)N(N=Nc3cc2C1=O)[C@H](C)Cn1ncnn1 |c:5,13|	ASD03930251	Activator		WO 2009038752			
ADR000125		Preclinical	Attention deficit hyperactivity disorder (ADHD); Cognitive disorders; Parkinson's disease; Huntington's disease	C16H15N9O2	Glutamate receptor 1	ASD03930000_1	C[C@H](Cn1ncnn1)N1C=Nc2cc3C(=O)N(N=Nc3cc2C1=O)C1CC1 |c:10,18|	ASD03930252	Activator		WO 2009038752			
ADR000126	RO-5126946	Preclinical	Dementia, Alzheimer's type	C19H21ClN2O4S	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	COc1ccc(Cl)cc1C(=O)N[C@H]1[C@H](c2ccc(cc2)S(N)(=O)=O)C1(C)C	ASD03090007	Activator		WO 2009043784			
ADR000127	PQCA	Preclinical	Dementia, Alzheimer's type	C27H25N5O2	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCC(CC2)(C#N)c2ccccn2)=C2C=CC=CN2C1=O |c:24,26,t:3,22|	ASD01811040	Regulator		WO 2009051715			
ADR000128		Preclinical	Dementia, Alzheimer's type	C24H15F2N7O	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCC(CC2)(C#N)c2ccccc2)=C2C=CC=CN2C1=O |c:24,26,t:3,22|	ASD01811032	Regulator		WO 2009051715			
ADR000129	ADX-71149; JNJ-40411813	Phase II	Epilepsy; Anxiety disorder; Schizophrenia	C20H25ClN2O	Metabotropic glutamate receptor 2	ASD01880000_1	CCCCN1C=CC(N2CCC(CC2)c2ccccc2)=C(Cl)C1=O |c:5,t:21|	ASD01883529	Activator		WO 2009033704; WO 2015110435			
ADR000130	A-988056	Preclinical	Cognitive disorders; Psychosis	C17H14F5N3O4S	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	OCC1=CN(\C(S1)=N\C(=O)N1CC[C@H](F)C1)c1ccc2OC(F)(F)C(F)(F)Oc2c1 |t:2|	ASD03090897	Activator		WO 2008002956			
ADR000131	(+)-TFMPIP; PF-4401090	Preclinical	Anxiety disorder; Psychosis	C21H22F4N4O	Metabotropic glutamate receptor 2	ASD01880000_1	C[C@@H]1CN(Cc2nc3ncccc3n2C)CC[C@@H]1c1ccc(OC(F)(F)F)cc1F |r|	ASD01882899	Activator		WO 2008012622			
ADR000132	A-966276	Preclinical	Cognitive disorders; Psychosis	C17H13F4N3O3S	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	CN(CC#C)C(=O)\N=C1/SC(C)=CN1c1ccc2OC(F)(F)C(F)(F)Oc2c1 |c:11|	ASD03090946	Activator		WO 2008002956			
ADR000133	ML-292; VU-0364770	Preclinical	Pain; Migraine; Anxiety disorder; Multiple sclerosis; Diabetes type 2; Parkinson's disease; Macular degeneration	C12H9ClN2O	Metabotropic glutamate receptor 4	ASD01900000_1	Clc1cccc(NC(=O)c2ccccn2)c1	ASD01903003	Activator		WO 2009010454			
ADR000134		Preclinical	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C23H22N4O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCC(CC2)c2nc3ccccc3[nH]2)=C2C=CC=CN2C1=O |c:26,28,t:3,24|	ASD01812105	Regulator		WO 2009102574			
ADR000135	MFZ-10-7	Preclinical	Pain; Anxiety disorder; Fragile X syndrome; Gastroesophageal reflux disease (GERD); Substance abuse and dependence	C15H13FN2	Metabotropic glutamate receptor 5	ASD01910000_1	Cc1cccc(n1)C#Cc1cc(F)cc(c1)C#N	ASD01918159	Inhibitor					
ADR000136		Preclinical	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C25H21N3O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCc3ccccc3C2c2ccncc2)=C2C=CC=CN2C1=O |c:27,29,t:3,25|	ASD01811131	Regulator		WO 2009117283			
ADR000137		Preclinical	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C20H17ClN2O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCc3cc(Cl)ccc3C2)=C2C=CC=CN2C1=O |c:21,23,t:3,19|	ASD01812110	Regulator		WO 2009117283			
ADR000138		Preclinical	Pain; Anxiety disorder	C24H26ClN5OS	Metabotropic glutamate receptor 5	ASD01910000_1	Cl.CC(C)c1cccc(n1)-c1c(NC(=O)[C@@H]2C[C@H]2C)snc1-c1ccc2nn(C)cc2c1	ASD01918161	Inhibitor		WO 2009123855			
ADR000139		Preclinical	Schizophrenia	C23H20F2N4O2S	Muscarinic acetylcholine receptor M4;Histamine H3 receptor	ASD01840000_1;ASD12400000_1	Cc1cc(OCCc2ccncc2)nc2sc(C(=O)NCc3cc(F)ccc3F)c(N)c12	ASD01840228	Regulator;Regulator					
ADR000140		Preclinical	Schizophrenia	C23H20F2N4O2S	Muscarinic acetylcholine receptor M4;Histamine H3 receptor	ASD01840000_1;ASD12400000_1	Cc1cc(OCCc2ccncc2)nc2sc(C(=O)NCc3cccc(F)c3F)c(N)c12	ASD01840229	Regulator;Regulator					
ADR000141	VU-0152129	Preclinical	Schizophrenia	C23H22N4O3S	Muscarinic acetylcholine receptor M4;Histamine H3 receptor	ASD01840000_1;ASD12400000_1	COc1ccc(CNC(=O)c2sc3nc(OCc4ccncc4)cc(C)c3c2N)cc1	ASD01840230	Regulator;Regulator					
ADR000142	CX-1837	Preclinical	Cognitive disorders		Glutamate receptor 1	ASD03930000_1			Activator		WO 2009038752; WO 2012121971			
ADR000143		Preclinical	Schizophrenia; Cognitive disorders	C17H11F6N3O	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	FC(F)(F)c1cc2cc(CNC(=O)c3ccc(nc3)C(F)(F)F)ccc2[nH]1	ASD03092270	Activator		WO 2009127678			
ADR000144	BQCA	Preclinical	Dementia, Alzheimer's type	C18H15NO4	Muscarinic acetylcholine receptor M1	ASD01810000_1	COc1ccc(CN2C=C(C(O)=O)C(=O)c3ccccc23)cc1 |t:8|	ASD01810162	Regulator		WO 2007067489; WO 2007100366			
ADR000145	VU-0184670	Preclinical	Schizophrenia; Dementia, Alzheimer's type	C17H25N3O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	CCOC(=O)N1CCC(CC1)NCCNC(=O)c1ccccc1	ASD01817043	Regulator					
ADR000146	ML-071; VU-0357017	Preclinical	Schizophrenia; Dementia, Alzheimer's type	C18H27N3O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	CCOC(=O)N1CCC(CC1)NCCNC(=O)c1ccccc1C	ASD01810071	Regulator					
ADR000147	PEPA	Preclinical	Anxiety disorder	C16H16F2N2O4S2	Glutamate receptor 1	ASD03930000_1	NC(=O)COc1c(F)cc(SCCNS(=O)(=O)c2ccccc2)cc1F	ASD04920003	Activator		WO 2006034196; WO 2013177484			
ADR000148	D-159687	Preclinical	Cognitive disorders	C21H19ClN2O2	CAMP-specific 3',5'-cyclic phosphodiesterase 4D	ASD02190000_1	COc1ccc(Cc2ccc(NC(N)=O)cc2)cc1-c1cccc(Cl)c1	ASD02190003	Inhibitor		WO 2009067600			
ADR000149	D-159404	Preclinical	Cognitive disorders	C21H18ClFN2O2	CAMP-specific 3',5'-cyclic phosphodiesterase 4D	ASD02190000_1	COc1ccc(Cc2ccc(NC(N)=O)cc2)c(F)c1-c1cccc(Cl)c1	ASD02190002	Inhibitor		WO 2009067600			
ADR000150		Preclinical	Dementia, Alzheimer's type	C22H15FN2O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CN(Cc2ccc(cc2)-c2cccnc2)c2cccc(F)c2C1=O |t:3|	ASD01810206	Regulator		WO 2008002621			
ADR000151	VU-0365114	Preclinical	Stroke; Schizophrenia; Dementia, Alzheimer's type; Dementia, vascular; Parkinson's disease	C22H14F3NO3	Muscarinic acetylcholine receptor M5	ASD01850000_1	FC(F)(F)Oc1ccc2N(Cc3ccc(cc3)-c3ccccc3)C(=O)C(=O)c2c1	ASD01850073	Regulator					
ADR000152	VU-0400265	Preclinical	Stroke; Schizophrenia; Dementia, Alzheimer's type; Dementia, vascular; Parkinson's disease	C22H14F3NO4	Muscarinic acetylcholine receptor M5	ASD01850000_1	FC(F)(F)Oc1ccc2N(Cc3ccc(Oc4ccccc4)cc3)C(=O)C(=O)c2c1	ASD01810069	Regulator					
ADR000153		Preclinical	Anxiety disorder	C20H11F2N3O2S2	Metabotropic glutamate receptor 5	ASD01910000_1	Nc1cnc2sc(c(-c3cccc(F)c3)c2c1)S(=O)(=O)c1cc(F)cc(c1)C#N	ASD01915062	Inhibitor		US 2009326002; WO 2007072095; WO 2010001185			
ADR000154	LY-2607540; THIIC	Preclinical	Anxiety disorder; Depression	C24H24F3N3O4	Metabotropic glutamate receptor 2	ASD01880000_1	CC(C)C(=O)c1ccc(OCc2ccc(CNC(=O)c3cn(C)cn3)cc2)c(c1O)C(F)(F)F	ASD01881506	Activator		WO 2010009062			
ADR000155	OSPL-502	Preclinical	Cognitive disorders	C25H24N2O7	Glutamate receptor 1	ASD03930000_1	CC12CN(CC(C)(CN(C1)C(=O)c1ccc3OCOc3c1)C2=O)C(=O)c1ccc2OCOc2c1	ASD01230268	Activator		WO 2008054252; WO 2011006653			
ADR000156		Preclinical	Dementia, Alzheimer's type	C22H20N4O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CC(CN2CCN(CC2)c2ccc(cc2)C#N)=C2C=CC=CN2C1=O |c:24,26,t:3,22|	ASD01813923	Regulator		WO 2009094279			
ADR000157		Preclinical	Dementia, Alzheimer's type	C26H24N2O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	CN(C)Cc1cccc(c1)-c1ccc(CN2C=C(C(O)=O)C(=O)c3ccccc23)cc1 |t:17|	ASD01812357	Regulator		WO 2008002621			
ADR000158		Preclinical	Dementia, Alzheimer's type	C26H23FN2O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	CN(C)Cc1cccc(c1)-c1ccc(CN2C=C(C(O)=O)C(=O)c3cccc(F)c23)cc1 |t:17|	ASD01810204	Regulator		WO 2008002621			
ADR000159		Preclinical	Dementia, Alzheimer's type	C20H13F2N3O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CN(Cc2ccc(cc2)-n2cccn2)c2c(F)ccc(F)c2C1=O |t:3|	ASD01810125	Regulator		WO 2010019391			
ADR000160		Preclinical	Dementia, Alzheimer's type	C19H13F2NO5	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC(=O)C1=CN(Cc2ccc3OCCOc3c2)c2cccc(F)c2C1=O |t:3|	ASD01812369	Regulator		WO 2010047990			
ADR000161		Preclinical	Dementia, Alzheimer's type	C19H14FN3O3	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cn1ncc2cc(CN3C=C(C(O)=O)C(=O)c4c(F)cccc34)ccc12 |t:9|	ASD01814168	Regulator		WO 2010047990			
ADR000162		Preclinical	Dementia, Alzheimer's type	C21H21N3O4	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cn1cc(cn1)-c1ccc(CN2C=C(C(O)=O)C(=O)C3=C2CCCC3O)cc1 |c:20,t:13|	ASD01811112	Regulator		WO 2009102588			
ADR000163		Preclinical	Dementia, Alzheimer's type	C23H21NO4	Muscarinic acetylcholine receptor M1	ASD01810000_1	OC1CCCC2=C1C(=O)C(=CN2Cc1ccc(cc1)-c1ccccc1)C(O)=O |c:5,10|	ASD01811093	Regulator		WO 2009102588			
ADR000164		Preclinical	Sleep disorder	C17H11ClF3N3	Metabotropic glutamate receptor 2	ASD01880000_1	FC(F)(F)Cc1cnc2c(Cl)c(ccn12)-c1cc(Cl)c2[nH]ccc2c1	ASD01882906	Activator		WO 2010060589			
ADR000165	MK-7622	Phase II	Pain; Schizophrenia; Sleep disorder; Dementia, Alzheimer's type	C26H26N2O2	Muscarinic acetylcholine receptor M1	ASD01810000_1	Cc1ccc(Cc2cc3C(=O)N(C=Nc3c3ccccc23)[C@H]2CCCC[C@@H]2O)cn1 |c:12|	ASD01812379	Regulator		WO 2010059773; WO 2016144727; WO 2017058691			
ADR000166	JNJ-39393406; T930SOU82P (UNII code)	Phase II	Depression; Smoking cessation therapy; Schizophrenia	C19H18F2N6O3	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	CN(C)C(=O)CCn1nc(Nc2ccc3OC(F)(F)Oc3c2)nc1-c1ccncc1	ASD03090211	Activator		WO 2007118903			
ADR000167	UoS-12258	Phase I	Schizophrenia	C17H19FN2O2S	Glutamate receptor 1	ASD03930000_1	CC(C)S(=O)(=O)N[C@H]1Cc2ccc(cc2C1)-c1ccc(F)nc1	ASD01230028	Activator		US 2008194648; WO 2006015828			
ADR000168	ADX-68692	Preclinical	Endometriosis; Prostatic hyperplasia, benign		Follicle-stimulating hormone receptor	ASD04880000_1			Inhibitor					
ADR000169	rac-BHFF	Preclinical	Anxiety disorder; Depression; Alcoholism	C17H21F3O3	Gamma-aminobutyric acid type B receptor	ASD01150000_1	CC(C)(C)c1cc2c(OC(=O)C2(O)C(F)(F)F)c(c1)C(C)(C)C	ASD01151072	Activator		US 2007027204			
ADR000170		Preclinical	Schizophrenia; Dementia, Alzheimer's type; Inflammation	C23H24N2O2S	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	Cc1ccc(NC(=O)c2cc(c(s2)N2CCOCC2)-c2ccccc2)c(C)c1	ASD03093016	Activator					
ADR000171	AF-710B; Anavex 3-71	Preclinical	Dementia, frontotemporal; Dementia, Alzheimer's type; Parkinson's disease	C21H28N2OS	Muscarinic acetylcholine receptor M1	ASD01810000_1	CC1SC2(CN1C(=O)CCc1c[nH]c3ccccc13)CCN(C)CC2	ASD01812382	Modulator		WO 2010084499			
ADR000172		Preclinical	Impulse control disorder; Parkinson's disease	C12H11N3	Metabotropic glutamate receptor 4	ASD01900000_1	Nc1nccc(\C=C\c2ccccc2)n1	ASD01901001	Activator					
ADR000173	1063-20; NAB-14	Preclinical	Epilepsy; Cognitive disorders; Psychosis	C20H21N3O3	Glutamate receptor ionotropic, NMDA 2C;Glutamate receptor ionotropic, NMDA 2D	ASD10950000_1;ASD14430000_1	CCN(CC)C(=O)Oc1ccc(cc1)C(=O)Nc1cccc2cc[nH]c12	ASD02030674	Inhibitor;Inhibitor		WO 2010088408			
ADR000174	ADX-50938	Preclinical	Dementia, Alzheimer's type; Psychosis	C20H17F2N3O2	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc(cc1)-c1nc(no1)[C@H]1CCCN(C1)C(=O)c1ccc(F)nc1	ASD01918164	Activator		WO 2005044797; WO 2006123249			
